"matricula","carrera","periodo","numRepPrev","año","semestre","cantidad_asig","tasa_rep_carga","ceneval_global","ceneval_analitico","ceneval_matematico","ceneval_lengua","ceneval_esp","prom_per_prev","generacion","tasa_aprob_per_prev","tasa_aprob_gral_prev","asigMuchas","cuartil_repEst","asigRep_totalAsig","carrera_IA","carrera_IDeIO","carrera_ILyCS","carrera_II","carrera_IE","carrera_NI","carrera_TS","semestre_Otoño","complejidad_carga4","complejidad_carga5","año_encurso","carga_aprobada","recursando","total_recursando","depto","practicante","situacion","situacion_Condicionado","situacion_Irregular","situacion_Regular","depto_EyN","depto_TSGyH"
106466693,"Negocios Internacionales",201603,0,2016,"Otoño",6,11.8613008458463,1024,1030,1000,1030,1090,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,0,1,0,1,2,4,7,0,0,0,"EyN",0,"Regular",0,0,1,1,0
106466700,"Turismo Sustentable y Gestión Hotelera",201601,0,2016,"Primavera",8,10.027685796334,1000,1120,940,1060,1090,8.44444444444444,2010,0,0,1,1,0,0,0,0,0,0,0,1,0,2,3,7,0,0,0,"TSGyH",1,"Regular",0,0,1,0,1
106466700,"Turismo Sustentable y Gestión Hotelera",201603,1,2016,"Otoño",4,15.8856253540072,1000,1120,940,1060,1090,7.875,2010,0.5,0.5,0,3,0.125,0,0,0,0,0,0,1,1,4,1,7,0,1,1,"TSGyH",0,"Irregular",0,1,0,0,1
106466734,"Innovación Empresarial",201601,0,2016,"Primavera",4,7.44882201727885,1006,940,850,1210,1030,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2,7,1,0,0,"EyN",0,"Regular",0,0,1,1,0
106466734,"Innovación Empresarial",201603,0,2016,"Otoño",3,3.94535806661872,1006,940,850,1210,1030,9,2010,1,1,0,1,0,0,0,0,0,1,0,0,1,4,1,7,0,0,0,"EyN",0,"Regular",0,0,1,1,0
106466734,"Innovación Empresarial",201801,2,2018,"Primavera",3,14.8489503328213,1006,940,850,1210,1030,3.5,2010,1,1,0,4,0.5,0,0,0,0,1,0,0,0,4,1,9,0,1,2,"EyN",0,"Condicionado",1,0,0,1,0
106466747,"Innovación Empresarial",201601,0,2016,"Primavera",5,10.1060534964743,922,940,880,910,1060,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1,7,1,0,0,"EyN",0,"Regular",0,0,1,1,0
106466747,"Innovación Empresarial",201603,0,2016,"Otoño",3,5.28037777215617,922,940,880,910,1060,8.2,2010,1,1,0,1,0,0,0,0,0,1,0,0,1,4,1,7,1,0,0,"EyN",1,"Regular",0,0,1,1,0
106466844,"Negocios Internacionales",201601,0,2016,"Primavera",8,8.5141092174841,1000,1060,1000,1000,970,8.44444444444444,2010,0,0,1,1,0,0,0,0,0,0,1,0,0,3,3,7,1,0,0,"EyN",0,"Regular",0,0,1,1,0
106466844,"Negocios Internacionales",201603,0,2016,"Otoño",6,9.83120823769499,1000,1060,1000,1000,970,8.25,2010,1,1,0,1,0,0,0,0,0,0,1,0,1,4,2,7,1,0,0,"EyN",0,"Regular",0,0,1,1,0
106466850,"Ingeniería Industrial",201601,0,2016,"Primavera",2,18.6953685583823,1192,1210,1210,1060,1210,8.44444444444444,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,7,1,0,0,"CBeI",0,"Regular",0,0,1,0,0
106466855,"Ingeniería Industrial",201601,0,2016,"Primavera",6,8.04384983300107,1156,1180,1150,1240,1180,8.44444444444444,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,7,0,0,0,"CBeI",1,"Regular",0,0,1,0,0
106466855,"Ingeniería Industrial",201603,2,2016,"Otoño",3,8.80641447664274,1156,1180,1150,1240,1180,5.66666666666667,2010,1,1,0,4,0.333333333333333,0,0,0,1,0,0,0,1,4,1,7,1,1,1,"CBeI",1,"Irregular",0,1,0,0,0
106466857,"Ingeniería Industrial",201601,0,2016,"Primavera",1,12.4444444444444,1066,1120,940,1150,1090,8.44444444444444,2010,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,7,1,0,0,"CBeI",0,"Regular",0,0,1,0,0
106466867,"Negocios Internacionales",201601,0,2016,"Primavera",3,9.09463431824567,1084,910,970,1270,1180,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,7,1,0,0,"EyN",1,"Regular",0,0,1,1,0
106466867,"Negocios Internacionales",201603,0,2016,"Otoño",3,13.9319192512525,1084,910,970,1270,1180,8.33333333333333,2010,1,1,0,1,0,0,0,0,0,0,1,0,1,4,1,7,0,0,0,"EyN",0,"Regular",0,0,1,1,0
106466867,"Negocios Internacionales",201801,1,2018,"Primavera",1,6.6350710900474,1084,910,970,1270,1180,7.33333333333333,2010,1,1,0,3,0.333333333333333,0,0,0,0,0,1,0,0,4,1,9,0,1,1,"EyN",0,"Irregular",0,1,0,1,0
106466872,"Negocios Internacionales",201601,0,2016,"Primavera",3,4.78138116070581,1096,1030,1030,1210,1180,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,7,1,0,0,"EyN",0,"Regular",0,0,1,1,0
106466874,"Ingeniería en Logística y Cadena de Suministro",201601,0,2016,"Primavera",1,12.4444444444444,1024,1060,820,1000,1180,8.44444444444444,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,4,1,7,0,0,0,"CBeI",0,"Regular",0,0,1,0,0
106466882,"Negocios Internacionales",201603,0,2016,"Otoño",3,9.15539631391133,1096,1060,1090,1180,1150,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,0,1,0,1,4,1,7,0,0,0,"EyN",1,"Regular",0,0,1,1,0
106466888,"Negocios Internacionales",201601,0,2016,"Primavera",5,7.69578349063479,1030,1000,940,970,1120,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,0,1,0,0,2,3,7,0,0,0,"EyN",1,"Regular",0,0,1,1,0
106466888,"Negocios Internacionales",201603,2,2016,"Otoño",4,8.96743715454168,1030,1000,940,970,1120,4.4,2010,1,1,0,4,0.4,0,0,0,0,0,1,0,1,2,3,7,0,0,0,"EyN",0,"Irregular",0,1,0,1,0
106466888,"Negocios Internacionales",201801,1,2018,"Primavera",1,5.91133004926109,1030,1000,940,970,1120,6.5,2010,1,1,0,3,0.5,0,0,0,0,0,1,0,0,4,1,9,0,1,1,"EyN",0,"Condicionado",1,0,0,1,0
